"id" "uid" "reg_no" "batch" "biobank_id" "breed" "sex" "sex_name" "born" "event_age_days" "X1a_contact_greeting" "X1b_contact_cooperation" "X1c_contact_handling" "X2a_playful_delight" "X2b_playful_catching" "X2c_playful_catch_drag" "X3a_chase1" "X3a_chase2" "X3b_catching1" "X3b_catching2" "X4_activity" "X5a_avst_playful_interest" "X5b_avst_playful_aggression" "X5c_avst_playful_curiosity" "X5d_avst_playful_delight" "X5e_avst_playful_cooperation" "X6a_surprise_fear" "X6b_surprise_aggression" "X6c_surprise_curiosity" "X6d_surprise_kv_fear" "X6e_surprise_kv_intr" "X7a_noise_fear" "X7b_noise_curiosity" "X7c_noise_kv_fear" "X7d_noise_kv_interest" "X8a_phantom_aggression" "X8b_phantom_control" "X8c_phantom_fear" "X8d_phantom_curiosity" "X8e_phantom_contact" "X9a_playful2_delight" "X9b_playful2_catching" "X10_firearm" "sociability" "curfear" "playfulness" "chapro" "aggres"
"S11799-2007" "S11799/2007_621" "S11799/2007" "L2012" "S11799-2007" "GSD" 0 "F" 20061128 621 4 4 3 4 4 4 3 3 4 5 3 4 1 5 4 3 2 1 4 1 1 1 5 1 1 2 4 1 5 4 3 4 1 3.67 4.14 3.8 3.75 1.33
"S14189-2008" "S14189/2008_1237" "S14189/2008" "L2012" "S14189-2008" "GSD" 0 "F" 20080107 1237 4 1 3 4 5 5 2 1 1 1 3 2 1 2 3 3 2 1 5 2 1 2 3 1 1 2 4 2 3 4 4 5 1 2.67 3.86 4.6 1.25 1.33
"S15108-2008" "S15108/2008_1224" "S15108/2008" "L2012" "S15108-2008" "GSD" 1 "M" 20080110 1224 4 4 4 5 4 5 4 4 5 5 4 5 1 5 5 4 1 1 5 1 1 2 5 1 3 1 4 1 5 4 5 4 3 4 4.29 4.6 4.5 1
"S15299-2007" "S15299/2007_515" "S15299/2007" "L2012" "S15299-2007" "GSD" 1 "M" 20070116 515 4 3 1 4 5 5 4 4 5 5 3 3 1 1 1 1 2 1 3 1 2 4 2 1 3 1 5 1 2 4 3 3 1 2.67 3.14 4 4.5 1
"S16860-2009" "S16860/2009_849" "S16860/2009" "L2012" "S16860-2009" "GSD" 0 "F" 20090109 849 4 4 4 5 5 3 4 4 5 5 2 3 1 5 5 2 3 1 5 1 1 3 4 1 1 2 5 1 5 4 5 5 5 4 3.71 4.6 4.5 1.33
"S18705-2009" "S18705/2009_998" "S18705/2009" "L2012" "S18705-2009" "GSD" 0 "F" 20090128 998 3 4 3 4 4 3 1 1 1 1 5 3 1 5 5 2 1 5 5 1 5 1 5 1 1 4 5 1 5 1 4 4 1 3.33 4.43 3.8 1 3.33
"S23040-2007" "S23040/2007_1130" "S23040/2007" "L2012" "S23040-2007" "GSD" 1 "M" 20070308 1130 3 3 3 5 5 5 4 1 4 1 3 5 2 5 5 4 1 5 5 1 4 1 5 1 1 3 4 1 5 4 5 5 1 3 4.43 5 2.5 3.33
"S27843-2007" "S27843/2007_1303" "S27843/2007" "L2012" "S27843-2007" "GSD" 0 "F" 20070224 1303 3 3 4 3 3 3 3 3 4 4 3 3 1 5 5 1 5 2 1 1 3 3 5 1 2 2 3 4 2 2 2 4 1 3.33 3.43 3 3.5 1.67
"S28601-2007" "S28601/2007_1125" "S28601/2007" "L2012" "S28601-2007" "GSD" 0 "F" 20070326 1125 3 3 3 4 4 3 4 4 2 2 3 3 1 3 1 1 3 1 1 4 1 3 2 3 1 2 3 5 2 4 4 4 1 3 2.71 3.8 3 1.33
"S28819-2009" "S28819/2009_926" "S28819/2009" "L2012" "S28819-2009" "GSD" 0 "F" 20090402 926 4 4 4 5 5 5 4 4 4 4 3 3 1 5 5 4 1 1 5 1 2 1 5 1 1 4 3 5 4 4 5 5 1 4 5 5 4 2
"S33311-2009" "S33311/2009_503" "S33311/2009" "L2012" "S33311-2009" "GSD" 0 "F" 20090417 503 4 4 3 4 4 4 1 1 1 1 3 3 2 5 4 4 2 3 4 1 1 2 5 1 1 2 4 2 5 4 4 5 1 3.67 4.14 4.2 1 2.33
"S38093-2008" "S38093/2008_524" "S38093/2008" "L2012" "S38093-2008" "GSD" 0 "F" 20080515 524 4 3 4 5 5 5 4 4 5 5 3 5 2 5 5 4 3 4 4 1 2 1 5 1 1 3 5 2 5 4 5 5 1 3.67 4.14 5 4.5 3
"S39475-2009" "S39475/2009_451" "S39475/2009" "L2012" "S39475-2009" "GSD" 1 "M" 20090613 451 4 4 4 5 5 5 4 4 5 5 3 4 1 5 5 4 3 2 4 1 2 1 5 1 1 2 4 3 4 4 5 5 1 4 4.29 5 4.5 1.67
