date;room;start_time;end_time;topic;teacher;assistant;link_slide;link_lab;link_room
1/12/2025;Trippelrummet;9:00;9:15;Welcome;Nima;;;;
;;9:15;10:00;Introduction to R;Nima;;slide_r_intro.html;;
;;10:00;11:00;Using Rstudio;Nima;;https://youtu.be/suX6nsSUXDw?si=Vs1e22GU6UJ4Ty7u;lab_rstudio.html;
;;11:00;12:00;Essential: Variable & operators;Nima;;slide_r_elements_1.html;;
;;12:00;13:00;Lunch;;;;;
;;13:00;13:15;Essential: data types;Nima;;;lab_datatypes.html;
;;13:15;14:00;Projects and group discussion;Guilherme;;;;
;;14:00;15:00;Essential: Vectors & Strings;Guilherme;;slide_r_elements_2.html;;
;;15:00;16:00;Essential: Working with Vectors;Guilherme;;;lab_vectors.html;
;;16:00;17:00;Group discussion on projects;;;;;
2/12/2025;Trippelrummet;9:00;10:00;Essential: Matrices;Guilherme;;slide_r_elements_3.html;;
;;10:00;11:00;Essential: Matrices;Guilherme;;;lab_dataframes.html;
;;11:00;12:00;Loading data into R;Guilherme;;slide_loading_data.html;;
;;12:00;13:00;Lunch;;;;;
;;13:00;15:00;Loading data into R;Guilherme;;;lab_loadingdata.html;
;;15:00;15:30;Essential: Basic statistics;Nima;;slide_r_basic_statistic.html;;
;;15:30;16:00;Essential: Basic statistics;Nima;;;lab_statistics.html;
;;16:00;17:00;Group discussion on projects;;;;;
3/12/2025;Trippelrummet;9:00;10:00;Essential: Loops;Guilherme;;slide_r_elements_4.html;;
;;10:00;12:00;Essential: Loops;Guilherme;;;lab_loops.html;
;;12:00;13:00;Lunch;;;;;
;;13:00;14:00;Intro to Tidyverse;Marcin;;slide_tidyverse.html;;
;;14:00;16:00;Intro to Tidyverse;Marcin;;;lab_tidyverse.html;
;;16:00;17:00;Group discussion on projects;;;;;
4/12/2025;Trippelrummet;9:00;10:00;Base graphics;Nima;;slide_base_graphics.html;;
;;10:00;12:00;Base graphics;Nima;;;lab_graphics.html;
;;12:00;13:00;Lunch;;;;;
;;13:00;14:00;Graphics using ggplot2;Nima;;slide_ggplot2.html;;
;;14:00;16:00;Working with ggplot2;Nima;;;lab_ggplot2.html;
;;16:00;17:00;Group discussion on projects;;;;;
5/12/2025;Trippelrummet;9:00;10:00;Group discussion on projects;;;;;
;;10:00;12:00;Group discussion on projects;;;;;
;;11:00;12:00;Group discussion on projects;;;;;
;;12:00;13:00;Lunch;;;;;
;;13:00;14:30;Group presentation;;;;;
;;14:30;15:00;Q & A;;;;;
